StudentID,Number Class Attended,Previous Semester Score,Currently Working,Sleep Hours,Number of Practice Sets Solved
BITS0001,7,99,Yes,9,1
BITS0002,4,82,No,4,2
BITS0003,8,51,Yes,7,2
BITS0004,5,52,Yes,5,2
BITS0005,7,75,No,8,5
BITS0006,3,78,No,9,6
BITS0007,7,73,Yes,5,6
BITS0008,8,45,Yes,4,6
BITS0009,5,77,No,8,2
BITS0010,4,89,No,4,0
BITS0011,8,91,No,4,5
BITS0012,8,79,No,6,2
BITS0013,3,47,No,9,2
BITS0014,6,47,No,4,2
BITS0015,5,79,No,7,8
BITS0016,2,72,No,4,3
BITS0017,8,73,Yes,8,4
BITS0018,6,83,Yes,7,2
BITS0019,2,54,Yes,4,9
BITS0020,5,75,No,7,0
BITS0021,1,99,Yes,4,3
BITS0022,6,96,No,9,0
BITS0023,9,74,Yes,7,6
BITS0024,1,85,No,5,6
BITS0025,3,61,No,6,3
BITS0026,7,62,Yes,7,4
BITS0027,4,79,No,8,9
BITS0028,9,84,Yes,6,6
BITS0029,3,94,Yes,6,5
BITS0030,5,90,Yes,4,3
BITS0031,3,61,Yes,7,3
BITS0032,7,44,Yes,9,1
BITS0033,5,70,Yes,6,9
BITS0034,9,52,Yes,8,1
BITS0035,7,67,Yes,9,3
BITS0036,2,97,Yes,9,
BITS0037,4,59,No,8,3
BITS0038,9,72,No,8,2
BITS0039,2,55,Yes,4,1
BITS0040,,68,No,5,3
BITS0041,5,62,No,7,4
BITS0042,2,63,Yes,6,0
BITS0043,4,73,Yes,7,0
BITS0044,7,46,No,9,5
BITS0045,8,77,Yes,6,4
BITS0046,3,76,Yes,4,3
BITS0047,1,43,Yes,7,0
BITS0048,4,73,No,4,6
BITS0049,2,81,Yes,4,3
BITS0050,8,61,No,7,2
BITS0051,4,44,Yes,7,6
BITS0052,2,89,Yes,6,1
BITS0053,6,81,No,9,9
BITS0054,6,62,Yes,9,0
BITS0055,4,93,No,8,3
BITS0056,6,99,No,4,7
BITS0057,2,54,Yes,9,5
BITS0058,2,70,Yes,5,8
BITS0059,4,98,No,6,0
BITS0060,8,48,No,6,0
BITS0061,7,82,Yes,8,4
BITS0062,9,97,Yes,8,5
BITS0063,8,92,Yes,4,7
BITS0064,5,64,Yes,6,2
BITS0065,2,64,Yes,6,5
BITS0066,5,88,No,5,2
BITS0067,8,60,No,4,7
BITS0068,9,48,No,4,3
BITS0069,9,94,No,9,1
BITS0070,1,87,Yes,8,8
BITS0071,9,77,No,9,9
BITS0072,7,61,Yes,4,7
BITS0073,9,82,Yes,5,5
BITS0074,8,62,Yes,4,2
BITS0075,1,88,Yes,9,1
BITS0076,8,43,Yes,7,3
BITS0077,8,68,No,7,3
BITS0078,3,54,Yes,5,0
BITS0079,1,40,Yes,8,8
BITS0080,8,93,Yes,6,9
BITS0081,3,69,No,4,7
BITS0082,3,68,Yes,9,6
BITS0083,1,59,Yes,8,5
BITS0084,5,72,Yes,9,2
BITS0085,7,80,No,8,3
BITS0086,9,83,Yes,4,1
BITS0087,7,75,No,6,6
BITS0088,9,99,No,4,1
BITS0089,8,61,Yes,6,9
BITS0090,2,52,No,9,0
BITS0091,1,46,No,5,5
BITS0092,7,47,Yes,6,3
BITS0093,7,67,Yes,8,7
BITS0094,8,84,Yes,5,0
BITS0095,5,82,Yes,9,8
BITS0096,3,48,No,7,5
BITS0097,8,64,No,5,1
BITS0098,6,95,Yes,6,7
BITS0099,3,55,Yes,5,4
BITS0100,1,49,Yes,9,4
BITS0101,3,50,No,5,4
BITS0102,5,70,Yes,9,6
BITS0103,3,51,No,7,6
BITS0104,1,99,No,6,9
BITS0105,5,70,No,8,6
BITS0106,7,53,No,5,9
BITS0107,7,90,Yes,4,1
BITS0108,9,,Yes,8,7
BITS0109,3,71,Yes,5,0
BITS0110,7,89,No,8,1
BITS0111,1,92,No,4,6
BITS0112,4,56,Yes,8,3
BITS0113,4,74,No,8,9
BITS0114,5,40,No,4,9
BITS0115,7,68,No,4,8
BITS0116,7,90,Yes,4,8
BITS0117,4,43,Yes,7,2
BITS0118,7,62,Yes,9,2
BITS0119,3,67,No,9,8
BITS0120,6,55,Yes,4,9
BITS0121,2,51,Yes,9,7
BITS0122,9,92,Yes,8,0
BITS0123,5,60,No,4,5
BITS0124,6,84,No,5,6
BITS0125,4,56,No,4,7
BITS0126,7,79,No,4,1
BITS0127,9,52,No,9,0
BITS0128,7,91,Yes,6,3
BITS0129,1,97,Yes,8,0
BITS0130,1,71,No,9,1
BITS0131,9,76,No,8,2
